=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:07:30.322:822:048:;
Coincidence;15:07:30.330:172:288:;
Coincidence;15:07:31.558:389:696:;
Coincidence;15:07:31.829:880:128:;
Coincidence;15:07:32.537:147:584:;
Coincidence;15:07:32.869:076:608:;
Coincidence;15:07:33.110:436:552:;
Coincidence;15:07:33.268:306:032:;
Coincidence;15:07:33.328:793:728:;
Coincidence;15:07:34.310:685:792:;
Coincidence;15:07:34.594:632:448:;
Coincidence;15:07:34.948:434:176:;
Coincidence;15:07:35.376:228:768:;
Coincidence;15:07:35.573:756:032:;
Coincidence;15:07:35.656:671:296:;
Coincidence;15:07:35.836:694:784:;
Coincidence;15:07:36.258:085:536:;
Coincidence;15:07:36.950:160:192:;
Coincidence;15:07:36.994:551:168:;
Coincidence;15:07:37.368:335:168:;
Coincidence;15:07:37.628:026:240:;
Coincidence;15:07:37.953:975:616:;
Coincidence;15:07:37.986:106:816:;
Coincidence;15:07:38.245:015:760:;
Coincidence;15:07:38.933:257:152:;
Coincidence;15:07:39.402:584:640:;
Coincidence;15:07:40.112:507:824:;
Coincidence;15:07:40.883:380:736:;
Coincidence;15:07:40.895:605:696:;
Coincidence;15:07:42.410:001:184:;
Coincidence;15:07:42.605:741:504:;
Coincidence;15:07:42.799:896:640:;
Coincidence;15:07:43.892:869:696:;
Coincidence;15:07:44.576:062:208:;
Coincidence;15:07:45.320:857:184:;
Coincidence;15:07:45.353:177:920:;
Coincidence;15:07:45.722:317:184:;
Coincidence;15:07:45.740:637:248:;
Coincidence;15:07:45.911:423:808:;
Coincidence;15:07:46.563:351:424:;
Coincidence;15:07:46.692:781:632:;
Coincidence;15:07:47.069:848:096:;
Coincidence;15:07:48.892:022:912:;
Coincidence;15:07:49.002:124:416:;
Coincidence;15:07:49.122:857:672:;
Coincidence;15:07:49.297:592:192:;
Coincidence;15:07:49.299:045:376:;
Coincidence;15:07:49.301:083:552:;
Coincidence;15:07:49.550:617:408:;
Coincidence;15:07:50.038:825:932:;
Coincidence;15:07:50.367:942:624:;
Coincidence;15:07:50.871:057:344:;
Coincidence;15:07:51.705:728:512:;
Coincidence;15:07:52.300:370:880:;
Coincidence;15:07:52.480:138:816:;
Coincidence;15:07:52.667:931:136:;
Coincidence;15:07:52.788:132:800:;
Coincidence;15:07:53.705:820:416:;
Coincidence;15:07:54.567:998:976:;
Coincidence;15:07:54.644:732:544:;
Coincidence;15:07:54.707:463:744:;
